Time,ID,Instance,Feasible,ObjMatch,Distance,Duration,PhysMem,VirtMem,RandSeed,Config,Generation,Iteration,Solution
2018-11-13_14:41:50,0,Instance/pmed1.n100e198p5.json,1,0,127,0.048,3.781MB,876KB,1542091313,alg=0;job=1,0,5,
2018-11-13_14:41:50,0,Instance/pmed2.n100e193p10.json,1,0,98,0.33,3.914MB,1012KB,1542091381,alg=0;job=1,0,1178,
2018-11-13_14:41:51,0,Instance/pmed3.n100e198p10.json,1,0,93,0.917,3.922MB,1.008MB,1542091730,alg=0;job=1,0,3584,
2018-11-13_14:41:52,0,Instance/pmed4.n100e196p20.json,1,0,74,0.054,3.93MB,1.008MB,1542092663,alg=0;job=1,0,30,
2018-11-13_14:41:52,0,Instance/pmed5.n100e196p33.json,1,0,48,0.041,3.957MB,1.031MB,1542092732,alg=0;job=1,0,20,
2018-11-13_14:41:52,0,Instance/pmed6.n200e786p5.json,1,0,84,0.202,4.355MB,1.445MB,1542092788,alg=0;job=1,0,147,
2018-11-13_14:41:52,0,Instance/pmed7.n200e779p10.json,1,0,64,0.076,4.379MB,1.461MB,1542093012,alg=0;job=1,0,37,
2018-11-13_14:41:52,0,Instance/pmed8.n200e792p20.json,1,0,55,0.18,4.43MB,1.617MB,1542093107,alg=0;job=1,0,213,
2018-11-13_14:41:52,0,Instance/pmed9.n200e785p40.json,1,0,37,0.066,4.438MB,1.621MB,1542093307,alg=0;job=1,0,71,
2018-11-13_14:41:52,0,Instance/pmed10.n200e786p67.json,1,0,20,0.072,4.438MB,1.621MB,1542093393,alg=0;job=1,0,97,
2018-11-13_14:41:52,0,Instance/pmed11.n300e1772p5.json,1,0,59,0.108,5.016MB,2.172MB,1542093485,alg=0;job=1,0,18,
2018-11-13_14:41:53,0,Instance/pmed12.n300e1758p10.json,1,0,51,0.156,5.098MB,2.238MB,1542093621,alg=0;job=1,0,79,
2018-11-13_14:41:53,0,Instance/pmed13.n300e1760p30.json,1,0,36,0.255,5.098MB,2.238MB,1542093802,alg=0;job=1,0,199,
2018-11-13_14:41:53,0,Instance/pmed14.n300e1771p60.json,1,0,26,0.16,5.098MB,2.242MB,1542094083,alg=0;job=1,0,147,
2018-11-13_14:41:53,0,Instance/pmed15.n300e1754p100.json,1,0,18,0.103,5.098MB,2.242MB,1542094269,alg=0;job=1,0,69,
2018-11-13_14:41:53,0,Instance/pmed16.n400e3153p5.json,1,0,47,0.157,5.91MB,3.059MB,1542094399,alg=0;job=1,0,11,
2018-11-13_14:41:54,0,Instance/pmed17.n400e3142p10.json,1,0,39,0.211,6.07MB,3.316MB,1542094592,alg=0;job=1,0,32,
2018-11-13_14:41:54,0,Instance/pmed18.n400e3134p40.json,1,0,28,0.902,6.07MB,3.316MB,1542094840,alg=0;job=1,0,535,
2018-11-13_14:41:55,0,Instance/pmed19.n400e3134p80.json,1,0,19,59.052,6.07MB,3.441MB,1542095779,alg=0;job=1,0,170,
2018-11-13_14:42:54,0,Instance/pmed20.n400e3144p133.json,1,0,13,2.576,6.07MB,3.441MB,1542154927,alg=0;job=1,0,4853,
2018-11-13_14:42:56,0,Instance/pmed21.n500e4909p5.json,1,0,40,0.344,7.387MB,4.875MB,1542157540,alg=0;job=1,0,15,
2018-11-13_14:42:57,0,Instance/pmed22.n500e4896p10.json,1,0,38,0.809,7.465MB,4.875MB,1542157935,alg=0;job=1,0,102,
2018-11-13_14:42:58,0,Instance/pmed23.n500e4903p50.json,1,0,22,1.214,7.473MB,5MB,1542158793,alg=0;job=1,0,691,
2018-11-13_14:42:59,0,Instance/pmed24.n500e4914p100.json,1,0,15,0.789,7.484MB,5MB,1542160056,alg=0;job=1,0,598,
2018-11-13_14:43:00,0,Instance/pmed25.n500e4894p167.json,1,0,11,4.898,7.535MB,5MB,1542160895,alg=0;job=1,0,4570,
2018-11-13_14:43:05,0,Instance/pmed26.n600e7069p5.json,1,0,38,0.528,8.453MB,6.379MB,1542165846,alg=0;job=1,0,15,
2018-11-13_14:43:05,0,Instance/pmed27.n600e7072p10.json,1,0,32,0.64,8.68MB,6.379MB,1542166441,alg=0;job=1,0,40,
2018-11-13_14:43:06,0,Instance/pmed28.n600e7054p60.json,1,0,18,1.213,8.68MB,6.379MB,1542167146,alg=0;job=1,0,268,
2018-11-13_14:43:07,0,Instance/pmed29.n600e7042p120.json,1,0,13,0.933,8.68MB,6.379MB,1542168424,alg=0;job=1,0,359,
2018-11-13_14:43:08,0,Instance/pmed30.n600e7042p200.json,1,0,10,59.104,8.68MB,6.379MB,1542169422,alg=0;job=1,0,152,
2018-11-13_14:44:08,0,Instance/pmed31.n700e9601p5.json,1,0,30,0.636,9.582MB,7.141MB,1542228649,alg=0;job=1,0,10,
2018-11-13_14:44:08,0,Instance/pmed32.n700e9584p10.json,1,0,29,2.084,9.758MB,7.141MB,1542229371,alg=0;job=1,0,166,
2018-11-13_14:44:10,0,Instance/pmed33.n700e9616p70.json,1,0,15,25.335,9.758MB,7.141MB,1542231539,alg=0;job=1,0,9076,
2018-11-13_14:44:36,0,Instance/pmed34.n700e9585p140.json,1,0,11,0.992,9.758MB,7.141MB,1542256990,alg=0;job=1,0,252,
2018-11-13_14:44:37,0,Instance/pmed35.n800e12548p5.json,1,0,30,1.08,11.66MB,9.289MB,1542258063,alg=0;job=1,0,19,
2018-11-13_14:44:38,0,Instance/pmed36.n800e12560p10.json,1,0,27,3.634,11.84MB,9.484MB,1542259246,alg=0;job=1,0,302,
2018-11-13_14:44:42,0,Instance/pmed37.n800e12564p80.json,1,0,15,3.371,11.94MB,9.582MB,1542262987,alg=0;job=1,0,796,
2018-11-13_14:44:45,0,Instance/pmed38.n900e15898p5.json,1,0,29,1.189,13.18MB,10.8MB,1542266467,alg=0;job=1,0,9,
2018-11-13_14:44:47,0,Instance/pmed39.n900e15896p10.json,1,0,23,5.791,13.26MB,10.8MB,1542267786,alg=0;job=1,0,446,
2018-11-13_14:44:53,0,Instance/pmed40.n900e15879p90.json,1,0,13,3.454,13.26MB,10.8MB,1542273711,alg=0;job=1,0,766,
2018-11-13_14:44:56,0,Instance/pmed1.n100e198p5.json,1,0,127,0.039,13.26MB,10.8MB,1542277295,alg=0;job=1,0,7,
2018-11-13_14:44:56,0,Instance/pmed2.n100e193p10.json,1,0,98,0.885,13.26MB,10.8MB,1542277348,alg=0;job=1,0,3765,
2018-11-13_14:44:57,0,Instance/pmed3.n100e198p10.json,1,0,93,2.943,13.26MB,10.8MB,1542278248,alg=0;job=1,0,12122,
2018-11-13_14:45:00,0,Instance/pmed4.n100e196p20.json,1,0,74,0.055,13.26MB,10.8MB,1542281209,alg=0;job=1,0,130,
2018-11-13_14:45:00,0,Instance/pmed5.n100e196p33.json,1,0,48,0.039,13.26MB,10.8MB,1542281279,alg=0;job=1,0,18,
2018-11-13_14:45:00,0,Instance/pmed6.n200e786p5.json,1,0,84,0.374,13.26MB,10.8MB,1542281333,alg=0;job=1,0,211,
2018-11-13_14:45:01,0,Instance/pmed7.n200e779p10.json,1,0,64,0.195,13.26MB,10.8MB,1542281726,alg=0;job=1,0,230,
2018-11-13_14:45:01,0,Instance/pmed8.n200e792p20.json,1,0,55,1.93,13.26MB,10.8MB,1542281940,alg=0;job=1,0,3245,
2018-11-13_14:45:03,0,Instance/pmed9.n200e785p40.json,1,0,37,0.064,13.26MB,10.8MB,1542283891,alg=0;job=1,0,42,
2018-11-13_14:45:03,0,Instance/pmed10.n200e786p67.json,1,0,20,0.068,13.26MB,10.8MB,1542283976,alg=0;job=1,0,89,
2018-11-13_14:45:03,0,Instance/pmed11.n300e1772p5.json,1,0,59,12.67,13.26MB,10.8MB,1542284063,alg=0;job=1,0,7423,
2018-11-13_14:45:16,0,Instance/pmed12.n300e1758p10.json,1,0,51,0.165,13.26MB,10.8MB,1542296772,alg=0;job=1,0,32,
2018-11-13_14:45:16,0,Instance/pmed13.n300e1760p30.json,1,0,36,3.841,13.26MB,10.8MB,1542296967,alg=0;job=1,0,4237,
2018-11-13_14:45:20,0,Instance/pmed14.n300e1771p60.json,1,0,26,0.232,13.26MB,10.8MB,1542300840,alg=0;job=1,0,291,
2018-11-13_14:45:20,0,Instance/pmed15.n300e1754p100.json,1,0,18,0.101,13.26MB,10.8MB,1542301099,alg=0;job=1,0,78,
2018-11-13_14:45:20,0,Instance/pmed16.n400e3153p5.json,1,0,47,0.133,13.26MB,10.8MB,1542301226,alg=0;job=1,0,7,
2018-11-13_14:45:20,0,Instance/pmed17.n400e3142p10.json,1,0,39,0.19,13.26MB,10.8MB,1542301395,alg=0;job=1,0,20,
2018-11-13_14:45:20,0,Instance/pmed18.n400e3134p40.json,1,0,28,0.504,13.26MB,10.8MB,1542301622,alg=0;job=1,0,268,
2018-11-13_14:45:21,0,Instance/pmed19.n400e3134p80.json,1,0,18,11.248,13.26MB,10.8MB,1542302164,alg=0;job=1,0,13844,
2018-11-13_14:45:32,0,Instance/pmed20.n400e3144p133.json,1,0,13,0.715,13.26MB,10.8MB,1542313459,alg=0;job=1,0,1456,
2018-11-13_14:45:33,0,Instance/pmed21.n500e4909p5.json,1,0,40,0.334,13.26MB,10.8MB,1542314213,alg=0;job=1,0,7,
